tomb_id,latitude_x,longitude_x,quantity,period,region,county,county_ft,latitude_y,longitude_y,period_ft,start_date,end_date,distance
46,30.3927343800431,112.224322452419,4.0,Western Han,hubei,yingcheng,郢城 ,30.3768026970929,112.225978118688,前漢 ,-202,9,1.78
47,31.719426030212,113.395022810205,2.0,Eastern Han,hubei,suixian,隨縣 ,31.6993,113.367,後漢 ,25,220,3.47
48,30.786662666784,114.810796195542,1.0,Western Han,hubei,xiling,西陵 ,30.8357949301396,114.784891572358,前漢 ,-202,9,6.0
49,30.7855508914505,114.809405791803,1.0,Western Han,hubei,xiling,西陵 ,30.8357949301396,114.784891572358,前漢 ,-202,9,6.06
50,30.8418449249537,114.81783299577,1.0,Western Han,hubei,xiling,西陵 ,30.8357949301396,114.784891572358,前漢 ,-202,9,3.22
51,30.8396270363466,114.801271149719,1.0,Western Han,hubei,xiling,西陵 ,30.8357949301396,114.784891572358,前漢 ,-202,9,1.62
52,30.8396270363466,114.801271149719,1.0,Eastern Han,hubei,xiling,西陵 ,30.8357949301396,114.784891572358,後漢 ,25,220,1.62
53,31.0139728357345,113.769471111946,1.0,Western Han,hubei,anlu,安陸 ,31.0219541851857,113.754141558911,前漢 ,-202,9,1.71
54,32.0103158519537,112.125135692736,9.0,Western Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,前漢 ,-202,9,1.43
55,31.7465932223009,113.207829048016,1.0,Western Han,hubei,suixian,隨縣 ,31.6993,113.367,前漢 ,-202,9,15.95
56,32.2202502796712,111.684977552036,1.0,Eastern Han,hubei,zhuyang,築陽 ,32.2601031978565,111.690973322435,後漢 ,25,220,4.47
57,32.3842330237979,111.681395743032,5.0,Eastern Han,hubei,zhuyang,築陽 ,32.2601031978565,111.690973322435,後漢 ,25,220,13.83
58,31.0429879849242,113.807671216348,1.0,Eastern Han,hubei,anlu,安陸 ,31.0219541851857,113.754141558911,後漢 ,25,220,5.61
59,30.6046004701091,112.189186303251,1.0,Eastern Han,hubei,jiangling,江陵 ,30.3533162458038,112.182898297622,後漢 ,25,220,27.95
60,30.6046004701091,112.189186303251,1.0,Eastern Han,hubei,jiangling,江陵 ,30.3533162458038,112.182898297622,後漢 ,25,220,27.95
61,30.4031270454287,112.19714962666,1.0,Eastern Han,hubei,jiangling,江陵 ,30.3533162458038,112.182898297622,後漢 ,25,220,5.7
62,31.3414821064073,114.044295530716,2.0,Eastern Han,hubei,anlu,安陸 ,31.0219541851857,113.754141558911,後漢 ,25,220,44.99
63,32.3926299054811,111.695221161148,4.0,Western Han,hubei,yinxian,陰縣 ,32.4613497335891,111.636630756402,前漢 ,-202,9,9.41
64,32.3926299054811,111.695221161148,1.0,Western Han,hubei,yinxian,陰縣 ,32.4613497335891,111.636630756402,前漢 ,-202,9,9.41
65,32.0402248280347,112.138360574366,2.0,Western Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,前漢 ,-202,9,3.09
66,32.0928318683303,112.026369255832,1.0,Western Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,前漢 ,-202,9,13.96
67,32.0928318683303,112.026369255832,1.0,Eastern Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,後漢 ,25,220,13.96
68,32.0928318683303,112.026369255832,1.0,Western Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,前漢 ,-202,9,13.96
69,32.09283187,112.0263693,1.0,Eastern Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,後漢 ,25,220,13.96
70,32.0928318683303,112.026369255832,1.0,Western Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,前漢 ,-202,9,13.96
71,32.09283187,112.0263693,1.0,Eastern Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,後漢 ,25,220,13.96
72,32.0928318683303,112.026369255832,2.0,Western Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,前漢 ,-202,9,13.96
73,32.0928318683303,112.026369255832,2.0,Eastern Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,後漢 ,25,220,13.96
74,32.0928318683303,112.026369255832,3.0,Western Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,前漢 ,-202,9,13.96
75,32.0928318683303,112.026369255832,3.0,Eastern Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,後漢 ,25,220,13.96
76,30.20542437883,115.104664925823,1.0,Eastern Han,hubei,qichun,蘄春 ,30.1086656239241,115.369905297599,後漢 ,25,220,27.68
77,32.04423427755,112.13979934345,1.0,Eastern Han,hubei,xiangyang,襄陽 ,32.0124353268834,112.140119148482,後漢 ,25,220,3.54
78,30.4859657154127,114.882713679515,15.0,Western Han,hubei,zhuxian,邾縣,30.5158,114.8536,前漢 ,-202,9,4.33
79,30.4859657154127,114.882713679515,2.0,Western Han,hubei,zhuxian,邾縣,30.5158,114.8536,前漢 ,-202,9,4.33
80,30.5504388646535,114.33596947839,28.0,Eastern Han,hubei,shaxian,沙羨 ,30.334,114.1223,後漢 ,25,220,31.6
81,34.6840949729305,112.432834709694,1.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,1.81
82,34.1758381957141,116.49744619714,3.0,Western Han,henan,dangxian,碭縣 ,34.1616614890121,116.450938683481,前漢 ,-202,9,4.56
83,35.073521723409,112.595054209624,1.0,Western Han,henan,zhixian,軹縣,35.09333517,112.5971707,前漢 ,-202,9,2.21
84,35.073521723409,112.595054209624,1.0,Western Han,henan,zhixian,軹縣,35.09333517,112.5971707,前漢 ,-202,9,2.21
85,35.073521723409,112.595054209624,1.0,Xin,henan,zhixian,軹縣,35.09333517,112.5971707,新莽 ,9,23,2.21
86,34.7328726276037,113.682754377131,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,2.31
87,34.7362027592735,112.392967184551,1.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,6.83
88,34.7404854606131,112.024979546479,4.0,Xin,henan,xinan,新安 ,34.745436079829,111.867921769384,新莽 ,9,23,14.36
89,34.757661040925,112.393697373281,120.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,9.13
90,34.73575465313,113.694246675615,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,1.9
91,34.73575465313,113.694246675615,1.0,Eastern Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,後漢 ,25,220,1.9
92,34.73575465,113.6942467,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,1.9
93,34.73575465313,113.694246675615,1.0,Eastern Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,後漢 ,25,220,1.9
94,33.1427048467135,112.601771797797,2.0,Eastern Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,後漢 ,25,220,16.36
95,32.5981932624243,112.631636756817,1.0,Xin,henan,xinye,新野 ,32.5192864828954,112.368693816133,新莽 ,9,23,26.16
96,33.0942221048253,112.651881733457,1.0,Western Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,前漢 ,-202,9,14.95
97,32.3739075141406,112.746317975556,1.0,Western Han,henan,huyang,湖陽 ,32.3374342611367,112.731678645717,前漢 ,-202,9,4.28
98,35.0597739056922,112.586312491255,1.0,Western Han,henan,zhixian,軹縣,35.09333517,112.5971707,前漢 ,-202,9,3.86
99,35.0597739056922,112.586312491255,1.0,Western Han,henan,zhixian,軹縣,35.09333517,112.5971707,前漢 ,-202,9,3.86
